term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0045454,"cell redox homeostasis",0.861%,-2.083,-1.669,5.043,-6.3270,0.748,0.176,45454,0
GO:0012501,"programmed cell death",0.430%, 2.053,-4.319,4.742,-1.9231,0.836,0.183,12501,0
GO:2001237,"negative regulation of extrinsic apoptotic signaling pathway",0.020%,null,null,3.399,-1.0616,0.753,0.912,12501,1
GO:2001238,"positive regulation of extrinsic apoptotic signaling pathway",0.011%,null,null,3.146,-1.1164,0.747,0.736,12501,1
GO:0006099,"tricarboxylic acid cycle",0.469%, 0.918,-6.032,4.780,-6.2464,0.775,0.185,6099,0
GO:1900127,"positive regulation of hyaluronan biosynthetic process",0.001%,null,null,1.996,-1.2003,0.783,0.826,6099,1
GO:0006101,"citrate metabolic process",0.472%,null,null,4.782,-2.1896,0.791,0.985,6099,1
GO:0006102,"isocitrate metabolic process",0.022%,null,null,3.446,-1.6790,0.828,0.765,6099,1
GO:0022904,"respiratory electron transport chain",0.367%,null,null,4.673,-2.1249,0.818,0.834,6099,1
GO:0005978,"glycogen biosynthetic process",0.099%,null,null,4.103,-1.9226,0.793,0.715,6099,1
GO:0005977,"glycogen metabolic process",0.166%,null,null,4.327,-1.2962,0.804,0.957,6099,1
GO:0045725,"positive regulation of glycogen biosynthetic process",0.003%,null,null,2.547,-1.3063,0.750,0.734,6099,1
GO:0030030,"cell projection organization",0.608%, 6.580,-1.312,4.892,-2.9996,0.726,0.190,30030,0
GO:0006081,"cellular aldehyde metabolic process",0.753%, 1.944,-4.241,4.985,-1.3063,0.829,0.194,6081,0
GO:0015991,"ATP hydrolysis coupled proton transport",0.163%,-1.955, 6.654,4.321,-3.7696,0.821,0.210,15991,0
GO:0007229,"integrin-mediated signaling pathway",0.056%,-4.135, 4.123,3.860,-3.5719,0.810,0.221,7229,0
GO:0010501,"RNA secondary structure unwinding",0.025%, 0.280,-2.361,3.507,-4.2240,0.915,0.224,10501,0
GO:0031047,"gene silencing by RNA",0.089%,-1.893,-2.317,4.056,-1.3387,0.765,0.225,31047,0
GO:0055114,"oxidation-reduction process",15.060%,-1.099,-6.187,6.286,-1.9062,0.866,0.232,55114,0
GO:0051983,"regulation of chromosome segregation",0.098%,-2.332,-1.240,4.098,-1.0413,0.811,0.232,51983,0
GO:0006413,"translational initiation",0.518%,-0.260,-5.382,4.823,-12.1391,0.853,0.243,6413,0
GO:0071364,"cellular response to epidermal growth factor stimulus",0.005%,-2.695, 3.707,2.842,-2.0410,0.913,0.245,71364,0
GO:0016192,"vesicle-mediated transport",1.085%,-1.739, 5.274,5.144,-3.6517,0.896,0.261,16192,0
GO:0006897,"endocytosis",0.235%,-1.939, 5.821,4.480,-3.2118,0.876,0.271,6897,0
GO:0050790,"regulation of catalytic activity",1.575%,-4.283, 2.525,5.306,-3.1273,0.888,0.283,50790,0
GO:0032780,"negative regulation of ATPase activity",0.020%,null,null,3.403,-1.0413,0.911,0.811,50790,1
GO:0032435,"negative regulation of proteasomal ubiquitin-dependent protein catabolic process",0.006%,null,null,2.905,-1.6571,0.812,0.775,50790,1
GO:0010951,"negative regulation of endopeptidase activity",0.157%,null,null,4.304,-2.5058,0.802,0.752,50790,1
GO:0006094,"gluconeogenesis",0.262%,-1.034,-6.288,4.527,-2.7928,0.837,0.283,6094,0
GO:0006730,"one-carbon metabolic process",0.328%, 0.948,-6.217,4.625,-1.9226,0.815,0.289,6730,0
GO:0034976,"response to endoplasmic reticulum stress",0.100%,-3.137, 4.039,4.106,-2.7906,0.908,0.295,34976,0
GO:0000413,"protein peptidyl-prolyl isomerization",0.393%, 0.012,-3.619,4.703,-3.2343,0.905,0.309,413,0
GO:0032060,"bleb assembly",0.003%, 7.268, 0.990,2.511,-3.1308,0.757,0.310,32060,0
GO:0006107,"oxaloacetate metabolic process",0.015%,-0.573,-6.098,3.287,-2.6545,0.833,0.313,6107,0
GO:0051603,"proteolysis involved in cellular protein catabolic process",0.759%,-0.361,-4.088,4.988,-6.5607,0.861,0.329,51603,0
GO:0030163,"protein catabolic process",0.997%,null,null,5.107,-1.3918,0.895,0.813,51603,1
GO:0046034,"ATP metabolic process",1.263%, 0.934,-6.421,5.210,-3.8268,0.724,0.329,46034,0
GO:0015992,"proton transport",1.148%,null,null,5.168,-1.1877,0.796,0.887,46034,1
GO:0006165,"nucleoside diphosphate phosphorylation",0.600%,null,null,4.886,-1.7749,0.761,0.954,46034,1
GO:0006183,"GTP biosynthetic process",0.053%,null,null,3.833,-1.3075,0.766,0.816,46034,1
GO:0006163,"purine nucleotide metabolic process",2.435%,null,null,5.495,-1.0413,0.725,0.872,46034,1
GO:0009142,"nucleoside triphosphate biosynthetic process",0.651%,null,null,4.922,-2.0267,0.747,0.864,46034,1
GO:0006241,"CTP biosynthetic process",0.144%,null,null,4.267,-1.3075,0.754,0.763,46034,1
GO:0046037,"GMP metabolic process",0.123%,null,null,4.198,-1.5391,0.767,0.701,46034,1
GO:0006754,"ATP biosynthetic process",0.432%,null,null,4.743,-2.4128,0.733,0.970,46034,1
GO:0046033,"AMP metabolic process",0.124%,null,null,4.202,-2.1731,0.768,0.701,46034,1
GO:0015986,"ATP synthesis coupled proton transport",0.411%,null,null,4.722,-2.3512,0.645,0.858,46034,1
GO:0006096,"glycolytic process",0.545%,null,null,4.844,-3.6778,0.681,0.884,46034,1
GO:0000972,"transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery",0.006%, 7.838, 1.928,2.921,-1.6790,0.825,0.330,972,0
GO:0001778,"plasma membrane repair",0.002%, 5.807, 2.868,2.389,-1.7388,0.756,0.331,1778,0
GO:0045954,"positive regulation of natural killer cell mediated cytotoxicity",0.004%,-3.614, 4.393,2.704,-2.6781,0.806,0.345,45954,0
GO:0002230,"positive regulation of defense response to virus by host",0.004%,null,null,2.750,-1.3900,0.865,0.728,45954,1
GO:0006396,"RNA processing",3.210%, 0.012,-4.145,5.615,-1.0064,0.872,0.346,6396,0
GO:0007266,"Rho protein signal transduction",0.137%,-4.310, 4.349,4.246,-1.4299,0.818,0.360,7266,0
GO:0034332,"adherens junction organization",0.023%, 7.661,-0.333,3.464,-1.1164,0.776,0.361,34332,0
GO:0016559,"peroxisome fission",0.023%, 7.640, 1.838,3.469,-2.2474,0.812,0.361,16559,0
GO:0051592,"response to calcium ion",0.018%,-2.071, 2.954,3.357,-2.0113,0.942,0.366,51592,0
GO:0071896,"protein localization to adherens junction",0.001%,-1.340, 5.640,2.238,-1.6790,0.886,0.368,71896,0
GO:0042769,"DNA damage response, detection of DNA damage",0.001%,-2.006, 2.640,2.161,-1.0853,0.927,0.373,42769,0
GO:0030212,"hyaluronan metabolic process",0.008%,-1.146,-5.492,3.006,-1.4215,0.914,0.374,30212,0
GO:1904851,"positive regulation of establishment of protein localization to telomere",0.002%,-2.443, 5.587,2.410,-2.1896,0.763,0.380,1904851,0
GO:0090004,"positive regulation of establishment of protein localization to plasma membrane",0.009%,null,null,3.060,-2.0088,0.589,0.705,1904851,1
GO:0007629,"flight behavior",0.001%, 0.519, 1.451,2.255,-2.1731,0.872,0.394,7629,0
GO:0030534,"adult behavior",0.040%,null,null,3.708,-1.3110,0.848,0.715,7629,1
GO:0006851,"mitochondrial calcium ion transport",0.005%,-1.768, 5.070,2.818,-2.1896,0.916,0.407,6851,0
GO:0006048,"UDP-N-acetylglucosamine biosynthetic process",0.025%,-1.117,-4.882,3.502,-2.6545,0.887,0.408,6048,0
GO:0006032,"chitin catabolic process",0.018%,null,null,3.368,-1.1164,0.878,0.709,6048,1
GO:0050885,"neuromuscular process controlling balance",0.012%, 0.785, 1.501,3.188,-1.7126,0.915,0.410,50885,0
GO:0035999,"tetrahydrofolate interconversion",0.129%, 0.296,-7.195,4.217,-2.6843,0.779,0.418,35999,0
GO:0006749,"glutathione metabolic process",0.151%,null,null,4.288,-1.0644,0.881,0.731,35999,1
GO:0002181,"cytoplasmic translation",0.064%,-0.212,-5.350,3.915,-4.3915,0.873,0.429,2181,0
GO:0019344,"cysteine biosynthetic process",0.131%, 0.191,-6.811,4.225,-2.1896,0.774,0.430,19344,0
GO:0019346,"transsulfuration",0.004%,null,null,2.673,-1.7388,0.822,0.737,19344,1
GO:0019343,"cysteine biosynthetic process via cystathionine",0.010%,null,null,3.126,-1.2003,0.805,0.786,19344,1
GO:0006544,"glycine metabolic process",0.221%,null,null,4.452,-1.0413,0.782,0.813,19344,1
GO:0001731,"formation of translation preinitiation complex",0.070%, 6.478,-2.081,3.954,-8.8570,0.703,0.432,1731,0
GO:0000245,"spliceosomal complex assembly",0.043%,null,null,3.744,-1.8031,0.713,0.746,1731,1
GO:0016319,"mushroom body development",0.004%, 1.819, 1.683,2.701,-2.0267,0.833,0.433,16319,0
GO:0032968,"positive regulation of transcription elongation from RNA polymerase II promoter",0.029%,-3.491,-0.975,3.567,-1.4299,0.800,0.435,32968,0
GO:0006552,"leucine catabolic process",0.003%,-0.872,-6.526,2.632,-1.8252,0.807,0.436,6552,0
GO:0006002,"fructose 6-phosphate metabolic process",0.060%,-0.895,-3.361,3.885,-1.3063,0.908,0.444,6002,0
GO:0045214,"sarcomere organization",0.013%, 6.523, 0.669,3.220,-4.4737,0.638,0.444,45214,0
GO:0051149,"positive regulation of muscle cell differentiation",0.017%,null,null,3.350,-1.4215,0.710,0.797,45214,1
GO:0097119,"postsynaptic density protein 95 clustering",0.001%, 5.567, 4.225,2.243,-1.3063,0.677,0.449,97119,0
GO:1903608,"protein localization to cytoplasmic stress granule",0.002%,-1.569, 6.183,2.292,-1.0413,0.856,0.463,1903608,0
GO:0051103,"DNA ligation involved in DNA repair",0.039%,-2.174, 1.406,3.703,-1.1164,0.866,0.463,51103,0
GO:0001736,"establishment of planar polarity",0.019%, 1.546, 1.160,3.379,-1.6648,0.832,0.468,1736,0
GO:0060441,"epithelial tube branching involved in lung morphogenesis",0.006%,null,null,2.904,-1.0413,0.826,0.708,1736,1
GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",0.010%,null,null,3.106,-1.4978,0.688,0.964,1736,1
GO:0030855,"epithelial cell differentiation",0.139%,null,null,4.252,-1.5269,0.751,0.764,1736,1
GO:0010510,"regulation of acetyl-CoA biosynthetic process from pyruvate",0.001%,-3.093,-4.976,2.121,-1.2003,0.788,0.479,10510,0
GO:0003374,"dynamin family protein polymerization involved in mitochondrial fission",0.002%, 7.744, 1.103,2.449,-2.6545,0.752,0.485,3374,0
GO:0043044,"ATP-dependent chromatin remodeling",0.046%, 7.691, 1.868,3.770,-1.7411,0.810,0.489,43044,0
GO:0007010,"cytoskeleton organization",0.786%, 7.565, 1.771,5.004,-2.3916,0.768,0.490,7010,0
GO:0098792,"xenophagy",0.002%,-1.796, 2.764,2.398,-1.2876,0.918,0.490,98792,0
GO:0019886,"antigen processing and presentation of exogenous peptide antigen via MHC class II",0.002%,-1.090, 0.728,2.498,-2.3512,0.973,0.490,19886,0
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",0.001%,null,null,1.892,-1.0413,0.974,0.904,19886,1
GO:0010827,"regulation of glucose transport",0.013%,-2.488, 5.016,3.235,-1.2465,0.774,0.495,10827,0
GO:0051292,"nuclear pore complex assembly",0.005%, 8.114, 1.952,2.780,-1.6571,0.800,0.506,51292,0
GO:0015813,"L-glutamate transport",0.023%,-1.290, 5.010,3.466,-1.4215,0.833,0.509,15813,0
GO:0051291,"protein heterooligomerization",0.013%, 7.963, 1.975,3.206,-1.4950,0.807,0.509,51291,0
GO:0006105,"succinate metabolic process",0.015%,-0.584,-6.082,3.274,-1.7388,0.834,0.515,6105,0
GO:0006997,"nucleus organization",0.052%, 7.457, 1.747,3.821,-1.5595,0.804,0.516,6997,0
GO:0006268,"DNA unwinding involved in DNA replication",0.058%, 7.567,-0.601,3.873,-2.0267,0.753,0.522,6268,0
GO:0006103,"2-oxoglutarate metabolic process",0.020%,-0.498,-6.126,3.413,-2.1333,0.831,0.525,6103,0
GO:0050821,"protein stabilization",0.045%,-3.854, 1.997,3.763,-2.8982,0.892,0.525,50821,0
GO:0044351,"macropinocytosis",0.002%,-1.061, 3.331,2.340,-2.0012,0.899,0.525,44351,0
GO:0045104,"intermediate filament cytoskeleton organization",0.009%, 7.471, 0.330,3.083,-1.4215,0.739,0.528,45104,0
GO:0006417,"regulation of translation",0.692%,-2.842,-3.276,4.948,-6.7423,0.768,0.528,6417,0
GO:0017148,"negative regulation of translation",0.090%,null,null,4.064,-1.5981,0.777,0.822,6417,1
GO:0043488,"regulation of mRNA stability",0.018%,null,null,3.366,-1.6414,0.849,0.721,6417,1
GO:0006446,"regulation of translational initiation",0.091%,null,null,4.067,-7.2343,0.794,0.823,6417,1
GO:1990966,"ATP generation from poly-ADP-D-ribose",0.001%,-1.115,-6.346,2.086,-1.3063,0.819,0.531,1990966,0
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.037%, 7.026,-0.119,3.676,-2.3247,0.760,0.535,463,0
GO:0000027,"ribosomal large subunit assembly",0.079%,null,null,4.005,-2.1249,0.767,0.862,463,1
GO:0009792,"embryo development ending in birth or egg hatching",0.155%, 1.535, 1.416,4.298,-1.9696,0.808,0.537,9792,0
GO:0007391,"dorsal closure",0.005%,null,null,2.783,-1.6821,0.829,0.701,9792,1
GO:0016331,"morphogenesis of embryonic epithelium",0.040%,null,null,3.707,-1.6790,0.809,0.805,9792,1
GO:0043009,"chordate embryonic development",0.135%,null,null,4.238,-1.3075,0.809,0.880,9792,1
GO:0072499,"photoreceptor cell axon guidance",0.001%, 4.585, 3.184,2.248,-1.6790,0.653,0.538,72499,0
GO:0071404,"cellular response to low-density lipoprotein particle stimulus",0.003%,-2.614, 3.556,2.530,-1.0413,0.916,0.540,71404,0
GO:0021675,"nerve development",0.016%, 1.902, 1.709,3.320,-1.0413,0.824,0.542,21675,0
GO:1903543,"positive regulation of exosomal secretion",0.003%, 4.023, 4.460,2.576,-2.6545,0.649,0.543,1903543,0
GO:0008340,"determination of adult lifespan",0.020%, 1.381, 1.317,3.413,-1.8008,0.833,0.547,8340,0
GO:0006635,"fatty acid beta-oxidation",0.080%, 0.018,-6.236,4.011,-6.1046,0.778,0.551,6635,0
GO:0006689,"ganglioside catabolic process",0.005%,null,null,2.833,-1.2003,0.793,0.743,6635,1
GO:0033539,"fatty acid beta-oxidation using acyl-CoA dehydrogenase",0.009%,null,null,3.073,-5.8729,0.803,0.859,6635,1
GO:0033540,"fatty acid beta-oxidation using acyl-CoA oxidase",0.001%,null,null,1.982,-1.0413,0.826,0.745,6635,1
GO:1900034,"regulation of cellular response to heat",0.004%,-3.636, 3.723,2.670,-2.2749,0.865,0.557,1900034,0
GO:2000969,"positive regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity",0.001%,-3.541, 5.640,1.875,-1.3063,0.753,0.558,2000969,0
GO:0016322,"neuron remodeling",0.005%, 1.986,-0.497,2.814,-1.0853,0.775,0.560,16322,0
GO:0071709,"membrane assembly",0.095%, 7.392,-0.653,4.086,-1.2003,0.718,0.561,71709,0
GO:0006172,"ADP biosynthetic process",0.008%,-0.957,-7.227,3.028,-1.3063,0.791,0.564,6172,0
GO:0045647,"negative regulation of erythrocyte differentiation",0.002%,-1.866, 1.777,2.348,-1.0413,0.712,0.565,45647,0
GO:0006418,"tRNA aminoacylation for protein translation",1.099%, 1.168,-6.053,5.149,-1.4299,0.715,0.570,6418,0
GO:0006412,"translation",5.686%,null,null,5.863,-3.3125,0.821,0.729,6418,1
GO:0007023,"post-chaperonin tubulin folding pathway",0.020%,-0.152,-0.309,3.404,-2.1896,0.959,0.573,7023,0
GO:0043051,"regulation of pharyngeal pumping",0.002%,-2.382, 1.323,2.328,-1.2003,0.921,0.574,43051,0
GO:0070050,"neuron cellular homeostasis",0.003%,-2.453, 0.201,2.640,-1.1768,0.822,0.575,70050,0
GO:0018279,"protein N-linked glycosylation via asparagine",0.015%, 0.047,-6.074,3.284,-1.4978,0.808,0.577,18279,0
GO:0071526,"semaphorin-plexin signaling pathway",0.019%,-3.409, 3.264,3.381,-1.5777,0.821,0.578,71526,0
GO:0051639,"actin filament network formation",0.003%, 7.174, 0.711,2.549,-1.3063,0.743,0.581,51639,0
GO:0051489,"regulation of filopodium assembly",0.009%, 6.247, 1.818,3.043,-1.3075,0.692,0.582,51489,0
GO:0010977,"negative regulation of neuron projection development",0.021%,null,null,3.435,-1.2832,0.605,0.751,51489,1
GO:0006886,"intracellular protein transport",1.199%,-2.185, 6.566,5.187,-4.9281,0.789,0.584,6886,0
GO:0015031,"protein transport",2.251%,null,null,5.461,-1.4317,0.814,0.885,6886,1
GO:0046907,"intracellular transport",1.564%,null,null,5.302,-1.4572,0.811,0.937,6886,1
GO:0008104,"protein localization",2.626%,null,null,5.527,-1.0139,0.822,0.912,6886,1
GO:0072657,"protein localization to membrane",0.387%,null,null,4.696,-1.5391,0.585,0.823,6886,1
GO:0006626,"protein targeting to mitochondrion",0.108%,null,null,4.143,-2.0410,0.651,0.789,6886,1
GO:0009306,"protein secretion",0.529%,null,null,4.832,-1.6969,0.699,0.767,6886,1
GO:0006614,"SRP-dependent cotranslational protein targeting to membrane",0.138%,null,null,4.249,-2.5073,0.599,0.746,6886,1
GO:0045047,"protein targeting to ER",0.164%,null,null,4.323,-1.3063,0.805,0.984,6886,1
GO:0034613,"cellular protein localization",1.546%,null,null,5.297,-1.6050,0.792,0.953,6886,1
GO:0045184,"establishment of protein localization",2.407%,null,null,5.490,-1.3903,0.817,0.943,6886,1
GO:0002576,"platelet degranulation",0.003%,-1.076, 3.054,2.519,-1.2465,0.794,0.586,2576,0
GO:0045053,"protein retention in Golgi apparatus",0.007%,-2.674, 3.820,2.949,-1.8922,0.700,0.586,45053,0
GO:0007016,"cytoskeletal anchoring at plasma membrane",0.006%,null,null,2.867,-1.5595,0.614,0.771,45053,1
GO:0006337,"nucleosome disassembly",0.010%, 7.843, 0.229,3.096,-1.2465,0.765,0.588,6337,0
GO:0007173,"epidermal growth factor receptor signaling pathway",0.025%,-3.893, 3.815,3.505,-1.6050,0.815,0.589,7173,0
GO:0048013,"ephrin receptor signaling pathway",0.016%,null,null,3.308,-1.0700,0.819,0.749,7173,1
GO:0007169,"transmembrane receptor protein tyrosine kinase signaling pathway",0.167%,null,null,4.331,-1.3730,0.794,0.798,7173,1
GO:0008286,"insulin receptor signaling pathway",0.024%,null,null,3.484,-1.3955,0.802,0.767,7173,1
GO:0060285,"cilium-dependent cell motility",0.006%,-0.695, 2.317,2.912,-1.3075,0.794,0.591,60285,0
GO:0051764,"actin crosslink formation",0.004%, 8.051, 0.629,2.714,-1.7388,0.738,0.592,51764,0
GO:0051560,"mitochondrial calcium ion homeostasis",0.006%,-2.778, 0.085,2.891,-2.6545,0.814,0.598,51560,0
GO:0007339,"binding of sperm to zona pellucida",0.007%, 0.303,-2.974,2.957,-2.3247,0.848,0.600,7339,0
GO:0061512,"protein localization to cilium",0.010%,-1.242, 4.746,3.095,-3.2255,0.842,0.601,61512,0
GO:0007224,"smoothened signaling pathway",0.038%,-4.118, 4.085,3.683,-1.1714,0.814,0.605,7224,0
GO:0006631,"fatty acid metabolic process",0.878%, 1.131,-5.956,5.052,-1.2707,0.775,0.607,6631,0
GO:0006090,"pyruvate metabolic process",0.817%,null,null,5.021,-1.1768,0.779,0.755,6631,1
GO:0051014,"actin filament severing",0.011%, 2.605,-2.254,3.139,-2.1731,0.832,0.608,51014,0
GO:0009083,"branched-chain amino acid catabolic process",0.034%,-0.467,-7.146,3.636,-3.1331,0.783,0.610,9083,0
GO:0034394,"protein localization to cell surface",0.013%,-1.925, 6.509,3.207,-1.1909,0.847,0.612,34394,0
GO:0000059,"protein import into nucleus, docking",0.013%, 5.265, 4.803,3.216,-4.2351,0.645,0.613,59,0
GO:0006606,"protein import into nucleus",0.102%,null,null,4.118,-3.1831,0.739,0.867,59,1
GO:0006607,"NLS-bearing protein import into nucleus",0.009%,null,null,3.072,-3.3716,0.773,0.753,59,1
GO:0006610,"ribosomal protein import into nucleus",0.004%,null,null,2.702,-2.6843,0.782,0.720,59,1
GO:0042306,"regulation of protein import into nucleus",0.037%,null,null,3.677,-1.0413,0.691,0.930,59,1
GO:0006913,"nucleocytoplasmic transport",0.237%,null,null,4.483,-2.8107,0.821,0.932,59,1
GO:0070814,"hydrogen sulfide biosynthetic process",0.058%,-0.524,-2.449,3.875,-1.7388,0.926,0.616,70814,0
GO:0034454,"microtubule anchoring at centrosome",0.003%, 7.558, 0.810,2.624,-1.0413,0.736,0.617,34454,0
GO:0071407,"cellular response to organic cyclic compound",0.172%,-2.778, 3.788,4.343,-1.2853,0.897,0.618,71407,0
GO:0042026,"protein refolding",0.069%,-0.099,-0.768,3.949,-2.6545,0.956,0.621,42026,0
GO:0032091,"negative regulation of protein binding",0.017%,-2.741, 1.579,3.335,-1.6129,0.912,0.621,32091,0
GO:0060294,"cilium movement involved in cell motility",0.004%, 0.039, 2.685,2.695,-2.2474,0.777,0.623,60294,0
GO:0010457,"centriole-centriole cohesion",0.004%, 7.433, 0.730,2.697,-1.3063,0.734,0.623,10457,0
GO:0006397,"mRNA processing",0.561%, 0.207,-3.504,4.857,-17.1024,0.854,0.624,6397,0
GO:0000290,"deadenylation-dependent decapping of nuclear-transcribed mRNA",0.019%,null,null,3.386,-1.1164,0.859,0.790,6397,1
GO:0006378,"mRNA polyadenylation",0.044%,null,null,3.753,-1.5269,0.874,0.742,6397,1
GO:0000398,"mRNA splicing, via spliceosome",0.315%,null,null,4.607,-6.2464,0.854,0.876,6397,1
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.030%,null,null,3.588,-3.4101,0.857,0.721,6397,1
GO:0030593,"neutrophil chemotaxis",0.015%,-2.605, 3.752,3.272,-1.2465,0.728,0.625,30593,0
GO:0038095,"Fc-epsilon receptor signaling pathway",0.003%,-3.441, 3.262,2.544,-1.1740,0.822,0.629,38095,0
GO:0060414,"aorta smooth muscle tissue morphogenesis",0.001%, 1.940, 1.533,1.959,-2.1731,0.841,0.629,60414,0
GO:0030317,"flagellated sperm motility",0.017%,-0.873, 2.293,3.333,-1.9822,0.784,0.631,30317,0
GO:0045616,"regulation of keratinocyte differentiation",0.006%,-0.808, 1.052,2.869,-1.0413,0.738,0.631,45616,0
GO:0021670,"lateral ventricle development",0.003%, 1.808, 1.665,2.531,-1.4215,0.836,0.633,21670,0
GO:0019388,"galactose catabolic process",0.005%,-1.540,-6.452,2.817,-1.0413,0.855,0.634,19388,0
GO:0000266,"mitochondrial fission",0.022%, 8.142, 1.989,3.441,-1.6203,0.809,0.636,266,0
GO:0008053,"mitochondrial fusion",0.017%, 7.664, 0.085,3.338,-1.0853,0.724,0.637,8053,0
