term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0012501,"programmed cell death",0.430%,-2.050,-4.217,4.742,-1.9268,0.837,0.183,12501,0
GO:2001237,"negative regulation of extrinsic apoptotic signaling pathway",0.020%,null,null,3.399,-1.0652,0.753,0.912,12501,1
GO:2001238,"positive regulation of extrinsic apoptotic signaling pathway",0.011%,null,null,3.146,-1.1191,0.747,0.736,12501,1
GO:0006099,"tricarboxylic acid cycle",0.469%,-0.894,-5.968,4.780,-6.2596,0.775,0.185,6099,0
GO:1900127,"positive regulation of hyaluronan biosynthetic process",0.001%,null,null,1.996,-1.2021,0.784,0.826,6099,1
GO:0006101,"citrate metabolic process",0.472%,null,null,4.782,-2.1931,0.792,0.985,6099,1
GO:0006102,"isocitrate metabolic process",0.022%,null,null,3.446,-1.6814,0.828,0.765,6099,1
GO:0022904,"respiratory electron transport chain",0.367%,null,null,4.673,-2.1300,0.818,0.834,6099,1
GO:0005978,"glycogen biosynthetic process",0.099%,null,null,4.103,-1.9276,0.793,0.715,6099,1
GO:0005977,"glycogen metabolic process",0.166%,null,null,4.327,-1.3004,0.804,0.957,6099,1
GO:0045725,"positive regulation of glycogen biosynthetic process",0.003%,null,null,2.547,-1.3085,0.751,0.734,6099,1
GO:0030030,"cell projection organization",0.608%,-6.575,-1.375,4.892,-3.0128,0.727,0.190,30030,0
GO:0006081,"cellular aldehyde metabolic process",0.753%,-1.945,-4.151,4.985,-1.3085,0.829,0.194,6081,0
GO:0015991,"ATP hydrolysis coupled proton transport",0.163%, 1.868, 6.675,4.321,-3.7773,0.822,0.210,15991,0
GO:0007229,"integrin-mediated signaling pathway",0.056%, 4.017, 4.263,3.860,-3.5817,0.810,0.221,7229,0
GO:0010501,"RNA secondary structure unwinding",0.025%,-0.227,-2.332,3.507,-4.2366,0.915,0.224,10501,0
GO:0031047,"gene silencing by RNA",0.089%, 1.903,-2.147,4.056,-1.3461,0.766,0.225,31047,0
GO:0055114,"oxidation-reduction process",15.060%, 1.163,-6.148,6.286,-1.9419,0.867,0.232,55114,0
GO:0051983,"regulation of chromosome segregation",0.098%, 2.317,-1.023,4.098,-1.0433,0.811,0.232,51983,0
GO:0006413,"translational initiation",0.518%, 0.391,-5.447,4.823,-12.1605,0.852,0.243,6413,0
GO:0071364,"cellular response to epidermal growth factor stimulus",0.005%, 2.609, 3.777,2.842,-2.0464,0.913,0.245,71364,0
GO:0016192,"vesicle-mediated transport",1.085%, 1.675, 5.285,5.144,-3.6716,0.896,0.261,16192,0
GO:0006897,"endocytosis",0.235%, 1.869, 5.833,4.480,-3.2306,0.876,0.271,6897,0
GO:0050790,"regulation of catalytic activity",1.575%, 4.210, 2.688,5.306,-3.1349,0.888,0.283,50790,0
GO:0032780,"negative regulation of ATPase activity",0.020%,null,null,3.403,-1.0433,0.911,0.811,50790,1
GO:0032435,"negative regulation of proteasomal ubiquitin-dependent protein catabolic process",0.006%,null,null,2.905,-1.6606,0.812,0.775,50790,1
GO:0010951,"negative regulation of endopeptidase activity",0.157%,null,null,4.304,-2.5128,0.802,0.752,50790,1
GO:0006094,"gluconeogenesis",0.262%, 1.148,-6.266,4.527,-2.7998,0.837,0.283,6094,0
GO:0006730,"one-carbon metabolic process",0.328%,-0.942,-6.117,4.625,-1.9276,0.815,0.289,6730,0
GO:0034976,"response to endoplasmic reticulum stress",0.100%, 3.040, 4.118,4.106,-2.8010,0.908,0.295,34976,0
GO:0000413,"protein peptidyl-prolyl isomerization",0.393%, 0.234,-3.772,4.703,-3.2418,0.902,0.309,413,0
GO:0032060,"bleb assembly",0.003%,-7.297, 0.862,2.511,-3.1355,0.758,0.310,32060,0
GO:0006107,"oxaloacetate metabolic process",0.015%, 0.693,-6.046,3.287,-2.6586,0.834,0.313,6107,0
GO:0051603,"proteolysis involved in cellular protein catabolic process",0.759%, 0.517,-4.187,4.988,-6.5751,0.860,0.329,51603,0
GO:0030163,"protein catabolic process",0.997%,null,null,5.107,-1.3975,0.894,0.813,51603,1
GO:0046034,"ATP metabolic process",1.263%,-0.804,-6.424,5.210,-3.8356,0.723,0.329,46034,0
GO:0015992,"proton transport",1.148%,null,null,5.168,-1.1925,0.797,0.887,46034,1
GO:0006165,"nucleoside diphosphate phosphorylation",0.600%,null,null,4.886,-1.7788,0.760,0.954,46034,1
GO:0006183,"GTP biosynthetic process",0.053%,null,null,3.833,-1.3104,0.765,0.816,46034,1
GO:0006163,"purine nucleotide metabolic process",2.435%,null,null,5.495,-1.0433,0.724,0.872,46034,1
GO:0009142,"nucleoside triphosphate biosynthetic process",0.651%,null,null,4.922,-2.0308,0.747,0.864,46034,1
GO:0006241,"CTP biosynthetic process",0.144%,null,null,4.267,-1.3104,0.754,0.763,46034,1
GO:0046037,"GMP metabolic process",0.123%,null,null,4.198,-1.5421,0.767,0.701,46034,1
GO:0006754,"ATP biosynthetic process",0.432%,null,null,4.743,-2.4175,0.733,0.970,46034,1
GO:0046033,"AMP metabolic process",0.124%,null,null,4.202,-2.1761,0.768,0.701,46034,1
GO:0015986,"ATP synthesis coupled proton transport",0.411%,null,null,4.722,-2.3566,0.644,0.858,46034,1
GO:0006096,"glycolytic process",0.545%,null,null,4.844,-3.6861,0.680,0.884,46034,1
GO:0000972,"transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery",0.006%,-7.879, 1.766,2.921,-1.6814,0.825,0.330,972,0
GO:0001778,"plasma membrane repair",0.002%,-5.878, 2.777,2.389,-1.7416,0.757,0.331,1778,0
GO:0045954,"positive regulation of natural killer cell mediated cytotoxicity",0.004%, 3.479, 4.521,2.704,-2.6818,0.806,0.345,45954,0
GO:0002230,"positive regulation of defense response to virus by host",0.004%,null,null,2.750,-1.3954,0.866,0.728,45954,1
GO:0006396,"RNA processing",3.210%,-0.021,-4.079,5.615,-1.0130,0.872,0.346,6396,0
GO:0007266,"Rho protein signal transduction",0.137%, 4.185, 4.495,4.246,-1.4343,0.818,0.360,7266,0
GO:0034332,"adherens junction organization",0.023%,-7.661,-0.437,3.464,-1.1191,0.777,0.361,34332,0
GO:0016559,"peroxisome fission",0.023%,-7.682, 1.682,3.469,-2.2513,0.812,0.361,16559,0
GO:0051592,"response to calcium ion",0.018%, 1.993, 2.998,3.357,-2.0177,0.942,0.366,51592,0
GO:0071896,"protein localization to adherens junction",0.001%, 1.282, 5.648,2.238,-1.6814,0.886,0.368,71896,0
GO:0042769,"DNA damage response, detection of DNA damage",0.001%, 1.935, 2.675,2.161,-1.0882,0.927,0.373,42769,0
GO:0030212,"hyaluronan metabolic process",0.008%, 1.252,-5.485,3.006,-1.4241,0.914,0.374,30212,0
GO:1904851,"positive regulation of establishment of protein localization to telomere",0.002%, 2.347, 5.653,2.410,-2.1931,0.763,0.380,1904851,0
GO:0090004,"positive regulation of establishment of protein localization to plasma membrane",0.009%,null,null,3.060,-2.0136,0.590,0.705,1904851,1
GO:0007629,"flight behavior",0.001%,-0.584, 1.484,2.255,-2.1761,0.872,0.394,7629,0
GO:0030534,"adult behavior",0.040%,null,null,3.708,-1.3150,0.849,0.715,7629,1
GO:0006851,"mitochondrial calcium ion transport",0.005%, 1.727, 5.089,2.818,-2.1931,0.916,0.407,6851,0
GO:0006048,"UDP-N-acetylglucosamine biosynthetic process",0.025%, 1.277,-4.955,3.502,-2.6586,0.886,0.408,6048,0
GO:0006032,"chitin catabolic process",0.018%,null,null,3.368,-1.1191,0.878,0.709,6048,1
GO:0050885,"neuromuscular process controlling balance",0.012%,-0.849, 1.529,3.188,-1.7190,0.915,0.410,50885,0
GO:0035999,"tetrahydrofolate interconversion",0.129%,-0.212,-7.182,4.217,-2.6888,0.779,0.418,35999,0
GO:0006749,"glutathione metabolic process",0.151%,null,null,4.288,-1.0683,0.881,0.731,35999,1
GO:0002181,"cytoplasmic translation",0.064%, 0.312,-5.413,3.915,-3.7375,0.872,0.429,2181,0
GO:0019344,"cysteine biosynthetic process",0.131%,-0.121,-6.797,4.225,-2.1931,0.774,0.430,19344,0
GO:0019346,"transsulfuration",0.004%,null,null,2.673,-1.7416,0.822,0.737,19344,1
GO:0019343,"cysteine biosynthetic process via cystathionine",0.010%,null,null,3.126,-1.2021,0.805,0.786,19344,1
GO:0006544,"glycine metabolic process",0.221%,null,null,4.452,-1.0433,0.782,0.813,19344,1
GO:0001731,"formation of translation preinitiation complex",0.070%,-6.402,-2.296,3.954,-8.8697,0.703,0.432,1731,0
GO:0000245,"spliceosomal complex assembly",0.043%,null,null,3.744,-1.8076,0.714,0.746,1731,1
GO:0016319,"mushroom body development",0.004%,-1.881, 1.703,2.701,-2.0308,0.834,0.433,16319,0
GO:0032968,"positive regulation of transcription elongation from RNA polymerase II promoter",0.029%, 3.498,-0.839,3.567,-1.4343,0.800,0.435,32968,0
GO:0006552,"leucine catabolic process",0.003%, 1.009,-6.463,2.632,-1.8285,0.808,0.436,6552,0
GO:0006002,"fructose 6-phosphate metabolic process",0.060%, 1.023,-3.421,3.885,-1.3085,0.907,0.444,6002,0
GO:0045214,"sarcomere organization",0.013%,-6.551, 0.592,3.220,-4.4828,0.639,0.444,45214,0
GO:0051149,"positive regulation of muscle cell differentiation",0.017%,null,null,3.350,-1.4241,0.710,0.797,45214,1
GO:0097119,"postsynaptic density protein 95 clustering",0.001%,-5.654, 4.130,2.243,-1.3085,0.678,0.449,97119,0
GO:1903608,"protein localization to cytoplasmic stress granule",0.002%, 1.502, 6.196,2.292,-1.0433,0.857,0.463,1903608,0
GO:0051103,"DNA ligation involved in DNA repair",0.039%, 2.121, 1.450,3.703,-1.1191,0.866,0.463,51103,0
GO:0001736,"establishment of planar polarity",0.019%,-1.586, 1.178,3.379,-1.6700,0.833,0.468,1736,0
GO:0060441,"epithelial tube branching involved in lung morphogenesis",0.006%,null,null,2.904,-1.0433,0.826,0.708,1736,1
GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",0.010%,null,null,3.106,-1.5018,0.689,0.964,1736,1
GO:0030855,"epithelial cell differentiation",0.139%,null,null,4.252,-1.5319,0.751,0.764,1736,1
GO:0010510,"regulation of acetyl-CoA biosynthetic process from pyruvate",0.001%, 3.202,-4.881,2.121,-1.2021,0.788,0.479,10510,0
GO:0003374,"dynamin family protein polymerization involved in mitochondrial fission",0.002%,-7.772, 0.959,2.449,-2.6586,0.753,0.485,3374,0
GO:0043044,"ATP-dependent chromatin remodeling",0.046%,-7.734, 1.708,3.770,-1.7459,0.811,0.489,43044,0
GO:0007010,"cytoskeleton organization",0.786%,-7.608, 1.616,5.004,-2.4031,0.768,0.490,7010,0
GO:0098792,"xenophagy",0.002%, 1.720, 2.797,2.398,-1.2921,0.918,0.490,98792,0
GO:0019886,"antigen processing and presentation of exogenous peptide antigen via MHC class II",0.002%, 1.067, 0.768,2.498,-2.3566,0.973,0.490,19886,0
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",0.001%,null,null,1.892,-1.0433,0.974,0.904,19886,1
GO:0010827,"regulation of glucose transport",0.013%, 2.405, 5.082,3.235,-1.2496,0.774,0.495,10827,0
GO:0051292,"nuclear pore complex assembly",0.005%,-8.157, 1.784,2.780,-1.6606,0.800,0.506,51292,0
GO:0015813,"L-glutamate transport",0.023%, 1.231, 5.019,3.466,-1.4241,0.833,0.509,15813,0
GO:0051291,"protein heterooligomerization",0.013%,-8.007, 1.811,3.206,-1.5008,0.807,0.509,51291,0
GO:0006105,"succinate metabolic process",0.015%, 0.704,-6.029,3.274,-1.7416,0.834,0.515,6105,0
GO:0006997,"nucleus organization",0.052%,-7.499, 1.593,3.821,-1.5633,0.805,0.516,6997,0
GO:0006268,"DNA unwinding involved in DNA replication",0.058%,-7.562,-0.765,3.873,-2.0308,0.753,0.522,6268,0
GO:0006103,"2-oxoglutarate metabolic process",0.020%, 0.611,-6.089,3.413,-2.1378,0.831,0.525,6103,0
GO:0050821,"protein stabilization",0.045%, 3.788, 2.145,3.763,-2.9108,0.892,0.525,50821,0
GO:0044351,"macropinocytosis",0.002%, 1.017, 3.310,2.340,-2.0103,0.900,0.525,44351,0
GO:0045104,"intermediate filament cytoskeleton organization",0.009%,-7.483, 0.214,3.083,-1.4241,0.740,0.528,45104,0
GO:0006417,"regulation of translation",0.692%, 2.921,-3.275,4.948,-6.7620,0.767,0.528,6417,0
GO:0017148,"negative regulation of translation",0.090%,null,null,4.064,-1.6045,0.777,0.822,6417,1
GO:0043488,"regulation of mRNA stability",0.018%,null,null,3.366,-1.6469,0.849,0.721,6417,1
GO:0006446,"regulation of translational initiation",0.091%,null,null,4.067,-7.2480,0.793,0.823,6417,1
GO:1990966,"ATP generation from poly-ADP-D-ribose",0.001%, 1.243,-6.356,2.086,-1.3085,0.819,0.531,1990966,0
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.037%,-7.031,-0.261,3.676,-2.3290,0.760,0.535,463,0
GO:0000027,"ribosomal large subunit assembly",0.079%,null,null,4.005,-2.1300,0.767,0.862,463,1
GO:0009792,"embryo development ending in birth or egg hatching",0.155%,-1.586, 1.434,4.298,-1.9803,0.809,0.537,9792,0
GO:0007391,"dorsal closure",0.005%,null,null,2.783,-1.6863,0.830,0.701,9792,1
GO:0016331,"morphogenesis of embryonic epithelium",0.040%,null,null,3.707,-1.6814,0.810,0.805,9792,1
GO:0043009,"chordate embryonic development",0.135%,null,null,4.238,-1.3104,0.810,0.880,9792,1
GO:0072499,"photoreceptor cell axon guidance",0.001%,-4.664, 3.138,2.248,-1.6814,0.654,0.538,72499,0
GO:0071404,"cellular response to low-density lipoprotein particle stimulus",0.003%, 2.530, 3.625,2.530,-1.0433,0.916,0.540,71404,0
GO:0021675,"nerve development",0.016%,-1.963, 1.729,3.320,-1.0433,0.825,0.542,21675,0
GO:1903543,"positive regulation of exosomal secretion",0.003%,-4.109, 4.417,2.576,-2.6586,0.650,0.543,1903543,0
GO:0008340,"determination of adult lifespan",0.020%,-1.433, 1.329,3.413,-1.8086,0.834,0.547,8340,0
GO:0006635,"fatty acid beta-oxidation",0.080%, 0.048,-6.209,4.011,-6.1198,0.778,0.551,6635,0
GO:0006689,"ganglioside catabolic process",0.005%,null,null,2.833,-1.2021,0.793,0.743,6635,1
GO:0033539,"fatty acid beta-oxidation using acyl-CoA dehydrogenase",0.009%,null,null,3.073,-5.8827,0.804,0.859,6635,1
GO:0033540,"fatty acid beta-oxidation using acyl-CoA oxidase",0.001%,null,null,1.982,-1.0433,0.827,0.745,6635,1
GO:1900034,"regulation of cellular response to heat",0.004%, 3.535, 3.843,2.670,-2.2811,0.865,0.557,1900034,0
GO:2000969,"positive regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity",0.001%, 3.428, 5.736,1.875,-1.3085,0.754,0.558,2000969,0
GO:0016322,"neuron remodeling",0.005%,-2.051,-0.381,2.814,-1.0882,0.776,0.560,16322,0
GO:0071709,"membrane assembly",0.095%,-7.396,-0.749,4.086,-1.2021,0.719,0.561,71709,0
GO:0006172,"ADP biosynthetic process",0.008%, 1.094,-7.208,3.028,-1.3085,0.791,0.564,6172,0
GO:0045647,"negative regulation of erythrocyte differentiation",0.002%, 1.749, 1.918,2.348,-1.0433,0.713,0.565,45647,0
GO:0038083,"peptidyl-tyrosine autophosphorylation",0.011%, 0.723,-4.187,3.157,-1.0033,0.900,0.566,38083,0
GO:0006418,"tRNA aminoacylation for protein translation",1.099%,-1.039,-6.073,5.149,-1.4343,0.715,0.570,6418,0
GO:0006412,"translation",5.686%,null,null,5.863,-3.1284,0.820,0.729,6418,1
GO:0007023,"post-chaperonin tubulin folding pathway",0.020%, 0.157,-0.295,3.404,-2.1931,0.959,0.573,7023,0
GO:0043051,"regulation of pharyngeal pumping",0.002%, 2.337, 1.419,2.328,-1.2021,0.921,0.574,43051,0
GO:0070050,"neuron cellular homeostasis",0.003%, 2.403, 0.332,2.640,-1.1792,0.822,0.575,70050,0
GO:0018279,"protein N-linked glycosylation via asparagine",0.015%, 0.114,-6.203,3.284,-1.5018,0.806,0.577,18279,0
GO:0071526,"semaphorin-plexin signaling pathway",0.019%, 3.320, 3.376,3.381,-1.5822,0.821,0.578,71526,0
GO:0051639,"actin filament network formation",0.003%,-7.196, 0.586,2.549,-1.3085,0.744,0.581,51639,0
GO:0051489,"regulation of filopodium assembly",0.009%,-6.297, 1.750,3.043,-1.3104,0.693,0.582,51489,0
GO:0010977,"negative regulation of neuron projection development",0.021%,null,null,3.435,-1.2881,0.606,0.751,51489,1
GO:0006886,"intracellular protein transport",1.199%, 2.097, 6.597,5.187,-4.9547,0.790,0.584,6886,0
GO:0015031,"protein transport",2.251%,null,null,5.461,-1.4518,0.815,0.885,6886,1
GO:0046907,"intracellular transport",1.564%,null,null,5.302,-1.4613,0.812,0.937,6886,1
GO:0008104,"protein localization",2.626%,null,null,5.527,-1.0192,0.822,0.912,6886,1
GO:0072657,"protein localization to membrane",0.387%,null,null,4.696,-1.5421,0.586,0.823,6886,1
GO:0006626,"protein targeting to mitochondrion",0.108%,null,null,4.143,-2.0464,0.652,0.789,6886,1
GO:0009306,"protein secretion",0.529%,null,null,4.832,-1.7019,0.700,0.767,6886,1
GO:0006614,"SRP-dependent cotranslational protein targeting to membrane",0.138%,null,null,4.249,-2.5125,0.600,0.746,6886,1
GO:0045047,"protein targeting to ER",0.164%,null,null,4.323,-1.3085,0.806,0.984,6886,1
GO:0034613,"cellular protein localization",1.546%,null,null,5.297,-1.6111,0.793,0.953,6886,1
GO:0045184,"establishment of protein localization",2.407%,null,null,5.490,-1.3955,0.818,0.943,6886,1
GO:0002576,"platelet degranulation",0.003%, 1.033, 3.080,2.519,-1.2496,0.795,0.586,2576,0
GO:0045053,"protein retention in Golgi apparatus",0.007%, 2.591, 3.928,2.949,-1.8965,0.701,0.586,45053,0
GO:0007016,"cytoskeletal anchoring at plasma membrane",0.006%,null,null,2.867,-1.5633,0.615,0.771,45053,1
GO:0006337,"nucleosome disassembly",0.010%,-7.851, 0.104,3.096,-1.2496,0.765,0.588,6337,0
GO:0007173,"epidermal growth factor receptor signaling pathway",0.025%, 3.781, 3.944,3.505,-1.6111,0.815,0.589,7173,0
GO:0048013,"ephrin receptor signaling pathway",0.016%,null,null,3.308,-1.0741,0.820,0.749,7173,1
GO:0007169,"transmembrane receptor protein tyrosine kinase signaling pathway",0.167%,null,null,4.331,-1.3800,0.795,0.798,7173,1
GO:0008286,"insulin receptor signaling pathway",0.024%,null,null,3.484,-1.4014,0.802,0.767,7173,1
GO:0060285,"cilium-dependent cell motility",0.006%, 0.654, 2.371,2.912,-1.3104,0.795,0.591,60285,0
GO:0051764,"actin crosslink formation",0.004%,-8.067, 0.492,2.714,-1.7416,0.739,0.592,51764,0
GO:0051560,"mitochondrial calcium ion homeostasis",0.006%, 2.728, 0.253,2.891,-2.6586,0.814,0.598,51560,0
GO:0007339,"binding of sperm to zona pellucida",0.007%,-0.240,-2.853,2.957,-2.3290,0.848,0.600,7339,0
GO:0061512,"protein localization to cilium",0.010%, 1.187, 4.751,3.095,-3.2314,0.843,0.601,61512,0
GO:0007224,"smoothened signaling pathway",0.038%, 4.000, 4.222,3.683,-1.1773,0.815,0.605,7224,0
GO:0006631,"fatty acid metabolic process",0.878%,-1.105,-5.892,5.052,-1.2779,0.776,0.607,6631,0
GO:0006090,"pyruvate metabolic process",0.817%,null,null,5.021,-1.1792,0.779,0.755,6631,1
GO:0051014,"actin filament severing",0.011%,-2.588,-2.212,3.139,-2.1761,0.832,0.608,51014,0
GO:0009083,"branched-chain amino acid catabolic process",0.034%, 0.565,-7.126,3.636,-3.1385,0.783,0.610,9083,0
GO:0034394,"protein localization to cell surface",0.013%, 1.846, 6.525,3.207,-1.1945,0.848,0.612,34394,0
GO:0000059,"protein import into nucleus, docking",0.013%,-5.364, 4.711,3.216,-4.2411,0.646,0.613,59,0
GO:0006606,"protein import into nucleus",0.102%,null,null,4.118,-3.1931,0.740,0.867,59,1
GO:0006607,"NLS-bearing protein import into nucleus",0.009%,null,null,3.072,-3.3788,0.773,0.753,59,1
GO:0006610,"ribosomal protein import into nucleus",0.004%,null,null,2.702,-2.6888,0.783,0.720,59,1
GO:0042306,"regulation of protein import into nucleus",0.037%,null,null,3.677,-1.0433,0.692,0.930,59,1
GO:0006913,"nucleocytoplasmic transport",0.237%,null,null,4.483,-2.8171,0.822,0.932,59,1
GO:0070814,"hydrogen sulfide biosynthetic process",0.058%, 0.550,-2.400,3.875,-1.7416,0.926,0.616,70814,0
GO:0034454,"microtubule anchoring at centrosome",0.003%,-7.581, 0.681,2.624,-1.0433,0.737,0.617,34454,0
GO:0071407,"cellular response to organic cyclic compound",0.172%, 2.689, 3.864,4.343,-1.2904,0.897,0.618,71407,0
GO:0042026,"protein refolding",0.069%, 0.126,-0.745,3.949,-2.6586,0.956,0.621,42026,0
GO:0032091,"negative regulation of protein binding",0.017%, 2.692, 1.668,3.335,-1.6187,0.913,0.621,32091,0
GO:0060294,"cilium movement involved in cell motility",0.004%,-0.094, 2.716,2.695,-2.2513,0.777,0.623,60294,0
GO:0010457,"centriole-centriole cohesion",0.004%,-7.457, 0.605,2.697,-1.3085,0.735,0.623,10457,0
GO:0006397,"mRNA processing",0.561%,-0.169,-3.468,4.857,-17.1612,0.853,0.624,6397,0
GO:0000290,"deadenylation-dependent decapping of nuclear-transcribed mRNA",0.019%,null,null,3.386,-1.1191,0.859,0.790,6397,1
GO:0006378,"mRNA polyadenylation",0.044%,null,null,3.753,-1.5319,0.874,0.742,6397,1
GO:0000398,"mRNA splicing, via spliceosome",0.315%,null,null,4.607,-6.2716,0.854,0.876,6397,1
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.030%,null,null,3.588,-3.4202,0.857,0.721,6397,1
GO:0030593,"neutrophil chemotaxis",0.015%, 2.509, 3.849,3.272,-1.2496,0.729,0.625,30593,0
GO:0038095,"Fc-epsilon receptor signaling pathway",0.003%, 3.353, 3.376,2.544,-1.1783,0.823,0.629,38095,0
GO:0060414,"aorta smooth muscle tissue morphogenesis",0.001%,-1.994, 1.553,1.959,-2.1761,0.842,0.629,60414,0
GO:0030317,"flagellated sperm motility",0.017%, 0.815, 2.371,3.333,-1.9888,0.784,0.631,30317,0
GO:0045616,"regulation of keratinocyte differentiation",0.006%, 0.700, 1.186,2.869,-1.0433,0.739,0.631,45616,0
GO:0021670,"lateral ventricle development",0.003%,-1.870, 1.686,2.531,-1.4241,0.837,0.633,21670,0
GO:0019388,"galactose catabolic process",0.005%, 1.647,-6.354,2.817,-1.0433,0.855,0.634,19388,0
GO:0000266,"mitochondrial fission",0.022%,-8.185, 1.824,3.441,-1.6247,0.810,0.636,266,0
