"","x"
"122","P12080"
"123","P16641"
"124","Q6P5M2"
"125","P86982"
"126","Q5RDT5"
"127","Q13231"
"128","Q9HC38"
"129","P54861"
"130","Q60432"
"131","C4Z2V1"
"132","O76373"
"133","A7Z035"
"134","Q3UES3"
"135","Q66GS9"
"136","Q96PF1"
"137","Q95LS7"
"138","A9JRL3"
"139","Q68SB1"
"140","P25228"
"141","Q5R501"
"142","A0LMC0"
"143","Q1RMI3"
"144","P11654"
"145","Q9UHB6"
"146","A0R4R3"
"147","Q95YJ5"
"148","P34100"
"149","P06603"
"150","Q24799"
"151","Q8IID4"
"152","Q9W4E2"
"153","Q55EF0"
"154","Q6ZMW3"
"155","Q8WPW2"
"156","Q96I24"
"157","P34308"
"158","Q6QHF9"
"159","A6NFN3"
"160","B0CM26"
"161","P77735"
"162","P16546"
"163","Q709C8"
"164","Q9W303"
"165","P22127"
"166","E9Q555"
"167","Q5I0B5"
"168","Q01780"
"169","Q9UNF0"
"170","Q57984"
"171","Q90577"
"172","A7S8T5"
"173","Q9JLB4"
"174","Q54LB8"
"175","O43251"
"176","F8WLE0"
"177","P49071"
"178","Q08499"
"179","Q8NF91"
"180","F1M7Y5"
"181","P31396"
"182","Q803V5"
"183","A5A8Y8"
"184","O95985"
"185","Q28E61"
"186","Q6DEJ5"
"187","Q6P791"
"188","Q8WXW3"
"189","Q1KKT4"
"190","Q7ZUG0"
"191","Q622K8"
"192","O08795"
"193","Q9BTV4"
"194","Q6P819"
"195","Q5ZIQ3"
"196","Q95KI0"
"197","O02367"
"198","O81077"
"199","Q6BLJ9"
"200","Q9C0E8"
"201","Q99758"
"202","Q9VLM8"
"203","Q8MJJ9"
"204","Q6PDG5"
"205","Q28XE2"
"206","Q7ZW47"
"207","Q8UUU2"
"208","P62335"
"209","Q3ZBZ8"
"210","P05183"
"211","Q8IW92"
"212","Q9BUH6"
"213","Q6AYJ3"
"214","Q5THJ4"
"215","P34519"
"216","O02373"
"217",""
"218","Q60649"
"219","Q9H977"
"220","Q28DB5"
"221","Q7TQ95"
"222","Q6RY07"
"223","Q5T1B0"
"224","Q5ZJU3"
"225","A8XK26"
"226","Q96RL7"
"227","Q8WVQ1"
"228","P36397"
"229","Q6GN29"
"230","B5X3C1"
"231","Q3T0D0"
"232","A9UMS3"
"233","Q95NR9"
"234","Q6RUV5"
"235","P52486"
"236","Q0V8S0"
"237","Q8TC92"
"238","Q0C7Y1"
"239","Q6PA06"
"240","Q15418"
"241","B4JTV9"
"242","Q5E968"
"243","Q9JJ43"
"244","Q1LZB9"
"245","Q10567"
"246","Q27433"
"247","Q53G44"
"248","Q4I7X1"
"249","Q8BJ64"
"250","Q9EPL8"
"251","P0C6P0"
"252","B0VXE6"
"253","Q5BL41"
"254","Q502J0"
"255","Q1RLY6"
"256","Q9Y4W6"
"257","O35156"
"258","Q4G0P3"
"259","Q96J94"
"260","P62997"
"261","Q8FTH8"
"262","Q91W50"
"263","P42207"
"264","P48741"
"265","Q96DR7"
"266","P76440"
"267","Q7PPA5"
"268","Q5R413"
"269","Q2TBS4"
"270","Q5ZIJ9"
"271","Q6ZUG5"
"272","Q9EQX9"
"273","Q7ZVA6"
"274","O42926"
"275","Q6PFQ2"
"276","Q99J09"
"277","Q7XA40"
"278","Q6NZC7"
"279","P10686"
"280","P61710"
"281","Q13177"
"282","Q3SZL6"
"283","Q7ZWE9"
"284","Q4R5J4"
"285","P11884"
"286","P46196"
"287","Q29RV1"
"288","Q9CY57"
"289","O93574"
"290","Q9Y547"
"291","Q3UQ28"
"292","Q18678"
"293","Q4PIN7"
"294","O59819"
"295","Q16206"
"296","Q9FIJ7"
"297","O89000"
"298","Q49117"
"299","Q6DCF6"
"300","Q9PVV4"
"301","Q7ZT82"
"302","Q32L93"
"303","Q2YGT9"
"304","B5DF89"
"305","P90666"
"306","Q0WYX8"
"307","P07711"
"308","Q08D11"
"309","P56652"
"310","Q8CGF7"
"311","Q8IYX4"
"312","Q921F2"
"313","Q9XZU1"
"314","Q8CI95"
"315","Q8BGB5"
"316","Q5EAJ7"
"317","Q8BYM7"
"318","Q5NVN8"
"319","Q11004"
"320","A8QL52"
"321","Q8BG18"
"322","Q8K385"
"323","P13804"
"324","Q8R1V4"
"325","P08018"
"326","Q9DC07"
"327","Q9SQV1"
"328","Q6ZRR9"
"329","P13395"
"330","Q6DIZ0"
"331","Q5UQE6"
"332","Q9VT65"
"333","A0JM51"
"334","Q4R4J7"
"335","A6QPR6"
"336","O15085"
"337","Q7ZY18"
"338","Q0IHF9"
"339","P42577"
"340","Q61210"
"341","P20488"
"342","Q2LZZ7"
"343","Q05975"
"344","A6N7Y9"
"345","A1A4P5"
"346","P84856"
"347","Q58EA0"
"348","P22314"
"349","O14936"
"350","Q7ZYJ9"
"351","D3ZTX0"
"352","Q86UC2"
"353","B4M375"
"354","Q5R9H4"
"355","Q7LKZ6"
"356","Q6UWX4"
"357","P40939"
"358","Q7M456"
"359","P21613"
"360","Q5RKI9"
"361","Q8CAQ8"
"362","P42680"
"363","P78509"
"364","Q9BW91"
"365","Q6WV74"
"366","Q0IIC4"
"367","Q01968"
"368","P34082"
"369","Q15154"
"370","P49165"
"371","Q6P8G1"
"372","Q9P2T1"
"373","Q8TE73"
"374","Q8TDB6"
"375","P97789"
"376","Q8TC29"
"377","Q9HA38"
"378","Q5R4I3"
"379","Q6NZQ0"
"380","P12247"
"381","Q0P5N1"
"382","Q6NY74"
"383","Q3SWY2"
"384","Q99MU5"
"385","Q7JQD3"
"386","Q1EG27"
"387","Q16698"
"388","Q0VD35"
"389","Q90687"
"390","Q28EG9"
"391","P42669"
"392","P02556"
"393","O42131"
"394","Q6IMH0"
"395","Q32NR4"
"396","Q5SUV2"
"397","A2AQ19"
"398","Q32L27"
"399","Q63638"
"400","Q08DM7"
"401","Q9Y6Q3"
"402","Q9WV92"
"403","O76041"
"404","Q6PB03"
"405","Q6NV34"
"406","Q9Z336"
"407","Q5BK63"
"408","P29691"
"409","Q5M868"
"410","P56276"
"411","Q4R6T7"
"412","Q5ZIR1"
"413","Q60972"
"414","Q0II59"
"415","O14089"
"416","Q9CWK8"
"417","Q4V7T8"
"418","O80925"
"419","Q11179"
"420","O54941"
"421","Q9Y3Y2"
"422","Q6ZMV9"
"423","Q5U3U3"
"424","P21271"
"425","Q58991"
"426","O34363"
"427","Q9JHA8"
"428","Q0P5A1"
"429","Q5R8S0"
"430","Q14517"
"431","P98199"
"432","Q6FQU5"
"433","Q6L1Z4"
"434","Q8VCC1"
"435","Q5R5C9"
"436","Q8BHH2"
"437","Q6NRP2"
"438","Q8TBZ2"
"439","Q7SIG4"
"440","Q8RY89"
"441","Q40787"
"442","P00432"
"443","Q29RI9"
"444","P30172"
"445","B3EGU1"
"446","Q9H2I8"
"447","Q2IA00"
"448","Q5DTJ9"
"449","Q8N6T3"
"450","P11799"
"451","Q8W1X2"
"452","P11498"
"453","Q91X52"
"454","Q5F3A2"
"455","Q8JG64"
"456","Q5BIS9"
"457","A6QQ21"
"458","Q9D9B4"
"459","Q6TNP8"
"460","Q7QC84"
"461","O77696"
"462","A2AAJ9"
"463","Q8NWQ4"
"464","Q9FMT1"
"465","Q2KIU7"
"466","A2VE52"
"467","Q6AY09"
"468","P40782"
"469","Q495T6"
"470","Q5XIN9"
"471","Q8IZ83"
"472","Q8CH18"
"473","O60100"
"474","Q5ZMS3"
"475","Q9I8D1"
"476","P30568"
"477","Q00719"
"478","Q7ZW86"
"479","Q61879"
"480","Q6B855"
"481","Q99PV0"
"482","P35316"
"483","P24733"
"484","Q5R8U3"
"485","A7S1L6"
"486","P91891"
"487","Q6ZR08"
"488","O01761"
"489","Q8CE50"
"490","P18106"
"491","Q944A6"
"492","Q9Z2K9"
"493","B0VXW0"
"494","P51957"
"495","Q8CJ40"
"496","Q03168"
"497","Q6DH23"
"498","Q95KR7"
"499","P25788"
"500","Q8VIG3"
"501","Q7A5L8"
"502","Q0III3"
"503","A2ASS6"
"504","P11837"
"505","Q9GR88"
"506","P41564"
"507","Q00612"
"508","A8E657"
"509","P12276"
"510","Q6IFY7"
"511","P98093"
"512","Q9CQ46"
"513","B0W2S0"
"514","Q68FK8"
"515","P25323"
"516","P31942"
"517","C3YDS7"
"518","Q6P5D4"
"519","Q9Z2J4"
"520","P51876"
"521","Q5R9I9"
"522","Q924X7"
"523","Q5R546"
"524","Q13330"
"525","P24329"
"526","Q55EU6"
"527","Q29491"
"528","P74148"
"529","Q5WR10"
"530","Q9UUE1"
"531","Q8C8H8"
"532","O93477"
"533","P56597"
"534","Q8AVX1"
"535","O61492"
"536","Q6TEN1"
"537","Q0VBY3"
"538","P39057"
"539","Q9EQG6"
"540","Q28D16"
"541","Q80TZ9"
"542","Q5ZI23"
"543","Q4V7C6"
"544","Q922K7"
"545","Q0VFZ6"
"546","O43491"
"547","Q8BKC5"
"548","Q54YC4"
"549","Q26304"
"550","O02827"
"551","Q5RA96"
"552","A6NNT2"
"553","Q9NZJ4"
"554","Q86GC8"
"555","Q13895"
"556","Q5E946"
"557","Q10490"
"558","P52912"
"559","Q9BI23"
"560","Q7PPU9"
"561","Q8YRI1"
"562","Q969V4"
"563","Q62270"
"564","Q5RFB6"
"565","Q93W34"
"566","O95881"
"567","Q2PFU1"
"568","Q9H0J4"
"569","Q61543"
"570","Q5R651"
"571","Q7SXV9"
"572","O15943"
"573","Q60HE9"
"574","O97341"
"575","P25975"
"576","Q8MPM1"
"577","Q7T105"
"578","P80108"
"579","Q09332"
"580","P55954"
"581","Q8VCR2"
"582","Q96RQ3"
"583","Q90705"
"584","Q9UPQ7"
"585","Q9CQN1"
"586","Q2H679"
"587","Q0DZT4"
"588","Q5NVS6"
"589","A6UV44"
"590","Q4R7V3"
"591","Q8K2G4"
"592","Q9VW71"
"593","Q7T2B9"
"594","Q15772"
"595","Q9WV04"
"596","O35920"
"597","Q9CY66"
"598","Q26636"
"599","P06235"
"600","Q9R0L6"
"601","P70318"
"602","Q1ZXI8"
"603","Q2TBN5"
"604","P52873"
"605","Q5D0E6"
"606","Q8AVQ3"
"607","Q6P2Q9"
"608","Q9H251"
"609","B2RTY4"
"610","Q8IVI9"
"611","Q24407"
"612","Q09228"
"613","P41241"
"614","P07686"
"615","P55263"
"616","P25708"
"617","Q14318"
"618","Q5E9T4"
"619","P0A9W5"
"620","Q9NYC9"
"621","Q98931"
"622","Q4R5L5"
"623","Q9P2J5"
"624","A4K526"
"625","Q6ZWR6"
"626","Q8TG24"
"627","Q5R6K8"
"628","Q96L92"
"629","Q9JLR1"
"630","P06797"
"631","Q07984"
"632","Q2KJA1"
"633","Q23551"
"634","Q8N0X7"
"635","P23819"
"636","Q96T49"
"637","P25205"
"638","O02695"
"639","Q86TC9"
"640","Q9WTR6"
"641","Q68EK7"
"642","P19491"
"643","P0C1J7"
"644","Q4R585"
"645","Q2TA16"
"646","Q9HBK9"
"647","Q5RG45"
"648","Q5RCS8"
"649","Q8K4B0"
"650","O88544"
"651","Q8TCT9"
"652","P22682"
"653","P98078"
"654","O60476"
"655","Q5FWN8"
"656","B8MG72"
"657","O69060"
"658","Q8NC51"
"659","O73792"
"660","Q9UKM9"
"661","Q8WWF6"
"662","Q4V7B5"
"663","P15215"
"664","Q94516"
"665","Q54WW3"
"666","P0AC33"
"667","P34609"
"668","Q9LV11"
"669","P07902"
"670","Q66KB9"
"671","Q9NAM7"
"672","P63389"
"673","O15990"
"674","Q8NDA8"
"675","Q9R1P4"
"676","Q5R469"
"677","Q7ZTP2"
"678","Q9Z1Z3"
"679","Q5PQQ9"
"680","Q3T058"
"681","Q8NDM7"
"682","Q27567"
"683","P22607"
"684","O61491"
"685","Q460N5"
"686","Q5RC32"
"687","Q03249"
"688","Q6DFJ6"
"689","Q8CHU3"
"690","Q5PU49"
"691","Q4PMB3"
"692","Q9VCU9"
"693","P29074"
"694","Q8NBK3"
"695","Q3SZ71"
"696","P57113"
"697","Q9Y2F9"
"698","A0JMU8"
"699","Q5VZK9"
"700","Q9JLI7"
"701","O11780"
"702","Q63164"
"703","O35509"
"704","Q9XZ58"
"705","P30946"
"706","Q5R9K8"
"707","Q3ZBD0"
"708","Q99J87"
"709","Q3UMF9"
"710","Q96MT7"
"711","O15234"
"712","Q2KI24"
"713","O54922"
"714","Q3UFQ8"
"715","B0BLT4"
"716","Q29EP6"
"717","P35224"
"718","P83099"
"719","Q4P460"
"720","Q28GD4"
"721","Q9UG63"
"722","A7RWC9"
"723","Q9BGI1"
"724","Q58A65"
"725","P15924"
"726","Q7TT49"
"727","Q9CQ92"
"728","P32348"
"729","Q6P635"
"730","P07522"
"731","P31696"
"732","Q9JI18"
"733","Q9BUN8"
"734","Q66H59"
"735","O69671"
"736","Q8VBV7"
"737","P60899"
"738","P14002"
"739","Q9Z2Z9"
"740","Q9WTX6"
"741","Q9BLG0"
"742","P63018"
"743","P92208"
"744","Q03427"
"745","Q9D9T0"
"746","Q9BXS5"
"747","Q8IXK0"
"748","Q9LME4"
"749","B0YN54"
"750","Q9D0B0"
"751","Q667Y5"
"752","Q13367"
"753","A0JPQ7"
"754","O35344"
"755","P35821"
"756","Q91642"
"757","Q80X90"
"758","Q8VEM8"
"759","Q8BLR2"
"760","Q40143"
"761","Q865F1"
"762","Q9IBG7"
"763","P01266"
"764","Q6IRE4"
"765","O88322"
"766","Q6S003"
"767","Q7Z478"
"768","O18883"
"769","Q9D5V6"
"770","P09623"
"771","O15989"
"772","O28994"
"773","A2ARV4"
"774","A1ZA47"
"775","Q90512"
"776","P0CB38"
"777","Q62909"
"778","Q11002"
"779","P19971"
"780","Q5ZLT7"
"781","Q01490"
"782","F1LMZ8"
"783","C3YWU0"
"784","Q91ZX7"
"785","Q960Z0"
"786","Q6PJN8"
"787","Q95RI5"
"788","Q6DIH3"
"789","Q7TMK9"
"790","Q9WYX8"
"791","O00468"
"792","P18426"
"793","Q27128"
"794","Q5RAZ4"
"795","Q4R642"
"796","Q9NUQ9"
"797","Q9Y6F1"
"798","P50430"
"799","B5FYY5"
"800","Q5ZKV8"
"801","A3QK15"
"802","Q9JM76"
"803","P78417"
"804","P70549"
"805","Q96M60"
"806","Q9WV25"
"807","O93400"
"808","P04630"
"809","O75665"
"810","A0LNW5"
"811","O88813"
"812","O35817"
"813","Q8HXP7"
"814","Q09221"
"815","B9FK36"
"816","Q21086"
"817","P53442"
"818","P20802"
"819","A4K2V0"
"820","Q3IFM6"
"821","Q8VE97"
"822","O01479"
"823","Q61W58"
"824","P55041"
"825","Q28F39"
"826","Q4R899"
"827","Q6P4W5"
"828","Q6C4D4"
"829","Q5HM85"
"830","P39060"
"831","O27502"
"832","Q805F9"
"833","O35286"
"834","Q6IPM2"
"835","Q5R504"
"836","Q9Y140"
"837","Q25092"
"838","Q96A49"
"839","Q5RCE6"
"840","Q2HJH1"
"841","Q502W6"
"842","Q8MT06"
"843","Q54WN0"
"844","P00508"
"845","Q9NQL2"
"846","Q3ZCH0"
"847","Q53EP0"
"848","Q5R7X2"
"849","Q6ZQ38"
"850","P15882"
"851","Q7K4Q5"
"852","A1CRM1"
"853","Q2KJC9"
"854","Q7JWR9"
"855","P83425"
"856","Q9RRL7"
"857","Q1AWB4"
"858","Q9BUQ8"
"859","Q9FL33"
"860","P29341"
"861","P52552"
"862","Q9UTT2"
"863","Q28653"
"864","Q8R5C8"
"865","Q502K2"
"866","P86832"
"867","Q6C024"
"868","P08059"
"869","Q9QWN8"
"870","Q2T9W3"
"871","Q1HFZ0"
"872","P12370"
"873","Q9NZN8"
"874","Q8WU90"
"875","O88307"
"876","Q9Y426"
"877","Q18685"
"878","Q9LQK9"
"879","Q0MQA6"
"880","Q9BGI2"
"881","Q68FX0"
"882","Q92890"
"883","P63155"
"884","Q754J2"
"885","Q0UAT0"
"886","O42993"
"887","A2ASQ1"
"888","P21901"
"889","Q8BWZ3"
"890","B0K019"
"891","F1RCR6"
"892","Q9YH58"
"893","P28758"
"894","Q19542"
"895","Q9P2S2"
"896","P54358"
"897","O43143"
"898","P51569"
"899","Q2T9I5"
"900","P26686"
"901","P17886"
"902","Q54K81"
"903","Q5I0A0"
"904","Q043G9"
"905","Q9ESZ0"
"906","O54774"
"907","O75165"
"908","Q0VFN8"
"909","Q9P2N5"
"910","Q7ZTZ2"
"911","Q9BGI3"
"912","P28339"
"913","Q8K0U4"
"914","Q5T848"
"915","Q4R5P3"
"916","Q28205"
"917","Q80ZI6"
"918","Q5RC80"
"919","Q4I7F9"
"920","Q99LM3"
"921","F7E235"
"922","Q868Z9"
"923","A6QLH6"
"924","Q55G93"
"925","P13706"
"926","Q14BN4"
"927","Q5JVL4"
"928","Q69VD9"
"929","Q5F3U9"
"930","Q99PK0"
"931","Q8C854"
"932","P95141"
"933","Q96AC1"
"934","Q6ZWL3"
"935","P28271"
"936","Q5R874"
"937","Q8IYE0"
"938","Q9BTW9"
"939","E1BBQ2"
"940","Q9BVL4"
"941","Q5R4Y2"
"942","Q5R8R5"
"943","P41932"
"944","Q7ZU90"
"945","B1H228"
"946","Q2KJG3"
"947","Q9D5E4"
"948","Q8K3X3"
"949","Q9BZJ0"
"950","A7MBP4"
"951","P21447"
"952","P37892"
"953","B5X0W9"
"954","O14233"
"955","Q9I7F7"
"956","Q7ZUQ3"
"957","P98160"
"958","Q01406"
"959","P80317"
"960","P30047"
"961","Q1JQE6"
"962","Q91VX2"
"963","P54646"
"964","Q9VXX8"
"965","Q9Y2E4"
"966","P12716"
"967","P16419"
"968","Q9VNE9"
"969","Q23121"
"970","Q965W1"
"971","F7B645"
"972","P52654"
"973","Q9Z2U1"
"974","Q94360"
"975","Q9WVA3"
"976","P42700"
"977","Q0V984"
"978","Q5T1M5"
"979","P0C6B8"
"980","Q4R4T9"
"981","P52758"
"982","P83941"
"983","P49595"
"984","Q5SYL3"
"985","Q13310"
"986","Q8BTH8"
"987","P35815"
"988","O94168"
"989","P23955"
"990","Q54SR7"
"991","P08928"
"992","Q6JQN1"
"993","Q5R4V4"
"994","Q9Z2Q1"
"995","P84175"
"996","Q9Y6J8"
"997","Q2EMV9"
"998","P83888"
"999","Q9W0S9"
"1000","Q05187"
"1001","O74191"
"1002","Q5M8Y1"
"1003","Q9Z2I4"
"1004","Q07912"
"1005","Q32KM1"
"1006","Q32LP0"
"1007","Q5R513"
"1008","Q9V9J3"
"1009","Q65N62"
"1010","Q0P5B7"
"1011","Q9Y2V2"
"1012","Q12979"
"1013","Q80WA4"
"1014","P84173"
"1015","P65764"
"1016","P33731"
"1017","Q9JJT0"
"1018","Q32PI1"
"1019","P24367"
"1020","Q8STF0"
"1021","Q8R508"
"1022","Q5PQR6"
"1023","A4QND0"
"1024","Q5BJJ7"
"1025","Q5RAU0"
"1026","Q58DA0"
"1027","P02640"
"1028","P07742"
"1029","O01802"
"1030","P35903"
"1031","Q9JJ94"
"1032","Q8C4X2"
"1033","B1H283"
"1034","P55245"
"1035","Q91VR5"
"1036","P01041"
"1037","O42254"
"1038","Q17043"
"1039","Q2YDD0"
"1040","Q07954"
"1041","A2VD00"
"1042","P84169"
"1043","P51650"
"1044","O54748"
"1045","Q03351"
"1046","Q99797"
"1047","P07746"
"1048","Q32LJ4"
"1049","Q13733"
"1050","Q5R4R4"
"1051","Q6PF21"
"1052","Q60520"
"1053","Q06205"
"1054","Q61425"
"1055","Q62761"
"1056","A0AVF1"
"1057","Q72YK9"
"1058","Q148D5"
"1059","O75182"
"1060","P51688"
"1061","Q6ETK3"
"1062","B2GAI0"
"1063","Q3UPL0"
"1064","Q09506"
"1065","P83606"
"1066","Q8IYX7"
"1067","P31732"
"1068","Q0MQD6"
"1069","Q67ZM4"
"1070","Q9VXK6"
"1071","Q4R979"
"1072","Q9VZI3"
"1073","Q5ZMW3"
"1074","P54813"
"1075","P36335"
"1076","Q8K194"
"1077","Q504A5"
"1078","P78368"
"1079","P55821"
"1080","Q7TT47"
"1081","Q8WQI5"
"1082","Q96ST3"
"1083","P36609"
"1084","Q5M7G4"
"1085","Q4R8V8"
"1086","A2AJ76"
"1087","Q07113"
"1088","Q66H94"
"1089","Q8BGA9"
"1090","Q4FZY0"
"1091","Q6DF94"
"1092","Q5FVR2"
"1093","P52034"
"1094","Q9HBI1"
"1095","P38024"
"1096","Q3SYV3"
"1097","Q99P31"
"1098","Q6PAM1"
"1099","B0BM24"
"1100","P12270"
"1101","Q5NVI9"
"1102","O77460"
"1103","Q04861"
"1104","Q2T9X8"
"1105","Q96D05"
"1106","P21249"
"1107","O08688"
"1108","P50226"
"1109","Q6AXP4"
"1110","P02207"
"1111","Q7U226"
"1112","Q8CCP0"
"1113","P13668"
"1114","P36425"
"1115","P76083"
"1116","Q5RB37"
"1117","P47845"
"1118","Q8CDN6"
"1119","P41261"
"1120","Q8VDM6"
"1121","Q6DFB8"
"1122","Q8VHI5"
"1123","O70497"
"1124","P41262"
"1125","Q09750"
"1126","Q5R4F4"
"1127","O80452"
"1128","Q28BR5"
"1129","Q01433"
"1130","O61463"
"1131","Q9D662"
"1132","Q5VTH9"
"1133","B3S3D5"
"1134","P15274"
"1135","P53809"
"1136","Q12275"
"1137","P06766"
"1138","Q97VS5"
"1139","Q5ZJK8"
"1140","Q8TBZ9"
"1141","Q9BX70"
"1142","Q5R889"
"1143","Q8NA47"
"1144","A4IGL7"
"1145","Q7T0Y4"
"1146","A1D4K4"
"1147","Q02543"
"1148","P62083"
"1149","Q759T9"
"1150","Q7SXN5"
"1151","O75112"
"1152","P24155"
"1153","Q01814"
"1154","O00571"
"1155","P50096"
"1156","Q7SYI5"
"1157","Q39752"
"1158","Q942L2"
"1159","Q5ZLV4"
"1160","A6QQP7"
"1161","B6LI37"
"1162","Q5ZIW2"
"1163","Q9DCR2"
"1164","Q8BW94"
"1165","Q32PA9"
"1166","P12075"
"1167","Q4VXU2"
"1168","A6H782"
"1169","Q7K237"
"1170","P33450"
"1171","Q9W4M9"
"1172","P23687"
"1173","Q98930"
"1174","Q6PCR7"
"1175","O60573"
"1176","Q6GR45"
"1177","Q8WNV7"
"1178","Q9RVG1"
"1179","Q90578"
"1180","P16086"
"1181","P72332"
"1182","P42297"
"1183","Q4KMD7"
"1184","Q96AJ9"
"1185","Q4V8G4"
"1186","Q29503"
"1187","Q16822"
"1188","P67874"
"1189","A1WXM7"
"1190","P38552"
"1191","O46036"
"1192","Q7T385"
"1193","Q9WTS8"
"1194","Q9US38"
"1195","O75340"
"1196","P51570"
"1197","Q6NY77"
"1198","Q653S3"
"1199","O35900"
"1200","Q7RPB4"
"1201","Q32M45"
"1202","Q8N6W0"
"1203","Q7T2E3"
"1204","Q9LFQ3"
"1205","Q15811"
"1206","P47942"
"1207","Q02366"
"1208","Q5EA95"
"1209","P49914"
"1210","P45478"
"1211","Q7SXP8"
"1212","Q14AT5"
"1213","Q12116"
"1214","P49756"
"1215","A9JRD8"
"1216","Q5R533"
"1217","Q9UKU7"
"1218","Q96KP4"
"1219","Q59HJ6"
"1220","Q9DBG7"
"1221","P49674"
"1222","A7S4N4"
"1223","Q8R059"
"1224","Q9Y6N5"
"1225","Q08DJ5"
"1226","Q5R1W5"
"1227","P09487"
"1228","Q9QZ81"
"1229","Q4R6L9"
"1230","Q9D7B6"
"1231","C3KYR4"
"1232","Q7TNK0"
"1233","Q6IND7"
"1234","Q9XSJ0"
"1235","Q2FXL6"
"1236","P19682"
"1237","Q7SY23"
"1238","Q5T0F9"
"1239","A6NEE1"
"1240","P25391"
"1241","Q4QQW8"
"1242","Q04836"
"1243","P35280"
"1244","Q6P1N0"
"1245","Q9CPU4"
"1246","Q5R5X8"
"1247","Q03203"
"1248","Q5XHC1"
"1249","Q96NL6"
"1250","O18373"
"1251","Q15637"
"1252","Q9D0B6"
"1253","Q7ZWA3"
"1254","B2KI42"
"1255","Q9JI85"
"1256","A2RRV3"
"1257","Q9PTW9"
"1258","Q498K0"
"1259","O01367"
"1260","Q7Z0T3"
"1261","Q6IR75"
"1262","Q9VGG5"
"1263","Q3T0C9"
"1264","Q9CX00"
"1265","Q9V5N8"
"1266","O57683"
"1267","Q7XPY2"
"1268","O14715"
"1269","Q5U4Q6"
"1270","Q32KL4"
"1271","O77210"
"1272","A4IIM2"
"1273","Q4WXV6"
"1274","Q8AVR4"
"1275","Q54EC2"
"1276","Q9WUU8"
"1277","Q9JII5"
"1278","Q39575"
"1279","Q5RBJ7"
"1280","Q9H4A6"
"1281","A1A4M6"
"1282","Q5ZJ54"
"1283","P42768"
"1284","P28668"
"1285","Q03958"
"1286","B7KSZ5"
"1287","Q6PDI5"
"1288","Q9XWV2"
"1289","O42958"
"1290","Q3TVW5"
"1291","Q9JID6"
"1292","Q56A55"
"1293","P35520"
"1294","Q2KI56"
"1295","O95671"
"1296","O08573"
"1297","Q09912"
"1298","Q5RC19"
"1299","P13676"
"1300","Q6NVA9"
"1301","Q8BK67"
"1302","P07290"
"1303","Q5I0H4"
"1304","Q8BNA6"
"1305","Q9JLI3"
"1306","P93107"
"1307","P48758"
"1308","Q90593"
"1309","P28663"
"1310","Q8K363"
"1311","A6H8J1"
"1312","Q9Y4F1"
"1313","Q562C6"
"1314","A3KN33"
"1315","Q8VHX6"
"1316","O01971"
"1317","Q9MZ34"
"1318","Q04446"
"1319","O75953"
"1320","Q5XIP4"
"1321","Q9BPU6"
"1322","P10111"
